hour,day,weather,event,crowd_risk
3,Saturday,Clear,Concert,85
17,Tuesday,Rain,NoEvent,72
6,Sunday,Cloudy,Concert,87
3,Saturday,Rain,Sports,70
0,Sunday,Cloudy,NoEvent,72
6,Thursday,Rain,Concert,40
19,Monday,Clear,Sports,84
13,Monday,Clear,Concert,59
0,Saturday,Rain,Sports,67
7,Friday,Cloudy,NoEvent,50
1,Monday,Rain,Festival,54
15,Sunday,Rain,Sports,60
3,Friday,Rain,Concert,53
3,Monday,Cloudy,Festival,61
4,Wednesday,Rain,NoEvent,50
8,Wednesday,Clear,Concert,66
2,Tuesday,Rain,Sports,46
15,Tuesday,Rain,Sports,58
8,Saturday,Cloudy,NoEvent,80
2,Saturday,Cloudy,Festival,80
15,Saturday,Clear,Sports,80
13,Tuesday,Rain,Festival,44
4,Monday,Cloudy,Concert,69
15,Sunday,Rain,Sports,66
7,Sunday,Rain,NoEvent,65
5,Friday,Cloudy,Festival,51
6,Tuesday,Cloudy,Festival,56
22,Thursday,Cloudy,Concert,54
19,Thursday,Cloudy,NoEvent,88
23,Monday,Rain,NoEvent,52
12,Wednesday,Rain,Festival,43
12,Saturday,Clear,NoEvent,84
7,Wednesday,Clear,Concert,65
9,Friday,Cloudy,NoEvent,59
17,Friday,Rain,Sports,74
13,Tuesday,Rain,NoEvent,51
13,Tuesday,Rain,Festival,47
17,Sunday,Cloudy,Concert,93
23,Monday,Rain,Sports,60
4,Wednesday,Cloudy,Sports,66
18,Friday,Clear,Festival,86
5,Thursday,Rain,Sports,47
4,Sunday,Cloudy,Festival,83
17,Thursday,Rain,Sports,70
0,Monday,Clear,Sports,62
14,Sunday,Cloudy,Sports,75
11,Monday,Rain,NoEvent,51
12,Tuesday,Clear,Sports,60
21,Wednesday,Cloudy,NoEvent,87
7,Friday,Rain,Festival,52
1,Monday,Rain,Festival,56
4,Wednesday,Cloudy,NoEvent,54
16,Monday,Clear,Concert,55
15,Friday,Rain,Concert,58
6,Friday,Clear,NoEvent,63
17,Monday,Cloudy,Sports,90
7,Sunday,Cloudy,Festival,77
4,Tuesday,Cloudy,Festival,67
1,Sunday,Clear,Festival,75
7,Friday,Rain,NoEvent,56
21,Sunday,Cloudy,Sports,100
9,Friday,Cloudy,Concert,51
14,Saturday,Clear,Festival,75
10,Sunday,Cloudy,Concert,78
13,Thursday,Cloudy,NoEvent,50
22,Sunday,Clear,Sports,71
18,Tuesday,Rain,Concert,76
8,Thursday,Rain,Sports,50
1,Saturday,Clear,Concert,85
17,Saturday,Cloudy,Festival,95
9,Saturday,Rain,Concert,80
2,Wednesday,Clear,Sports,53
15,Monday,Rain,NoEvent,51
23,Sunday,Clear,Concert,81
14,Monday,Clear,NoEvent,52
23,Friday,Clear,Sports,61
12,Wednesday,Cloudy,Concert,58
5,Monday,Rain,Sports,51
5,Tuesday,Rain,Sports,53
16,Saturday,Cloudy,NoEvent,79
13,Wednesday,Clear,Festival,55
23,Sunday,Cloudy,Concert,80
7,Tuesday,Clear,Festival,51
14,Tuesday,Clear,Concert,60
3,Thursday,Rain,NoEvent,43
23,Wednesday,Clear,Festival,66
22,Monday,Clear,Festival,70
22,Thursday,Cloudy,NoEvent,51
3,Tuesday,Rain,NoEvent,54
12,Sunday,Rain,Festival,73
17,Friday,Rain,Festival,71
2,Friday,Clear,Festival,50
21,Wednesday,Rain,Sports,79
2,Thursday,Rain,Sports,54
12,Saturday,Clear,Festival,77
14,Wednesday,Cloudy,NoEvent,66
19,Friday,Clear,Sports,70
17,Tuesday,Rain,NoEvent,72
3,Monday,Clear,Festival,52
17,Sunday,Clear,Festival,100
0,Thursday,Cloudy,NoEvent,64
16,Wednesday,Cloudy,NoEvent,53
23,Monday,Clear,Sports,50
21,Monday,Rain,Concert,66
17,Tuesday,Rain,Concert,71
3,Wednesday,Rain,Sports,50
19,Friday,Rain,NoEvent,77
2,Wednesday,Clear,Concert,54
6,Tuesday,Rain,Sports,53
22,Tuesday,Rain,Sports,50
8,Wednesday,Clear,NoEvent,55
13,Tuesday,Rain,Festival,53
5,Tuesday,Cloudy,Sports,51
17,Sunday,Rain,Festival,91
19,Tuesday,Rain,NoEvent,67
4,Sunday,Clear,Festival,84
1,Thursday,Rain,Concert,57
17,Monday,Rain,Sports,60
16,Saturday,Clear,Festival,87
1,Monday,Rain,Sports,60
13,Friday,Cloudy,NoEvent,53
17,Saturday,Clear,Sports,93
15,Sunday,Cloudy,Festival,72
8,Tuesday,Cloudy,Concert,51
14,Friday,Clear,Festival,64
21,Sunday,Clear,Concert,91
11,Monday,Rain,Concert,43
8,Friday,Clear,Sports,55
9,Monday,Clear,Concert,66
12,Tuesday,Clear,Sports,60
6,Thursday,Clear,Festival,51
17,Tuesday,Clear,NoEvent,83
23,Wednesday,Clear,Concert,59
3,Friday,Clear,Concert,69
7,Sunday,Clear,NoEvent,82
4,Friday,Cloudy,Concert,64
20,Sunday,Clear,NoEvent,100
8,Sunday,Cloudy,Sports,79
22,Saturday,Cloudy,Sports,82
18,Monday,Clear,Concert,78
4,Monday,Clear,NoEvent,60
21,Friday,Clear,Sports,80
7,Friday,Clear,Concert,51
4,Saturday,Cloudy,Concert,77
1,Saturday,Rain,Sports,60
19,Monday,Cloudy,Sports,84
3,Friday,Clear,Sports,66
16,Saturday,Rain,NoEvent,73
9,Saturday,Cloudy,NoEvent,79
4,Wednesday,Cloudy,Concert,66
16,Friday,Rain,NoEvent,47
13,Thursday,Cloudy,Sports,58
8,Saturday,Rain,Sports,63
4,Saturday,Clear,Sports,80
10,Tuesday,Rain,Concert,53
8,Monday,Cloudy,NoEvent,66
20,Sunday,Clear,Sports,100
19,Monday,Cloudy,NoEvent,89
1,Saturday,Cloudy,Concert,82
21,Wednesday,Rain,NoEvent,74
2,Thursday,Clear,NoEvent,55
18,Tuesday,Clear,Concert,76
19,Friday,Rain,Festival,60
5,Monday,Cloudy,Sports,62
13,Monday,Clear,Sports,55
2,Saturday,Cloudy,NoEvent,82
8,Tuesday,Clear,Concert,54
3,Tuesday,Clear,NoEvent,67
22,Sunday,Rain,Festival,71
0,Saturday,Clear,Sports,84
20,Tuesday,Clear,Concert,79
8,Saturday,Rain,Sports,60
22,Friday,Rain,Festival,53
9,Saturday,Rain,NoEvent,64
18,Friday,Clear,Concert,84
13,Wednesday,Clear,Concert,65
11,Saturday,Cloudy,NoEvent,84
20,Tuesday,Rain,NoEvent,60
17,Tuesday,Rain,NoEvent,79
10,Sunday,Clear,Concert,73
17,Tuesday,Rain,Festival,75
11,Wednesday,Clear,NoEvent,56
7,Wednesday,Cloudy,Sports,64
7,Thursday,Rain,Concert,53
10,Sunday,Rain,Festival,68
23,Monday,Rain,Concert,41
15,Tuesday,Rain,Sports,59
15,Saturday,Cloudy,NoEvent,84
19,Tuesday,Clear,Concert,77
11,Tuesday,Cloudy,Festival,51
4,Monday,Clear,NoEvent,65
18,Monday,Rain,Sports,68
16,Friday,Clear,Concert,61
0,Wednesday,Clear,NoEvent,64
2,Wednesday,Clear,Concert,61
2,Thursday,Cloudy,Festival,66
13,Saturday,Rain,Concert,65
16,Sunday,Cloudy,Sports,83
7,Thursday,Clear,Concert,65
19,Tuesday,Rain,Concert,73
12,Saturday,Cloudy,Festival,74
12,Saturday,Rain,Festival,64
0,Saturday,Rain,NoEvent,66
16,Friday,Cloudy,Festival,50
3,Saturday,Clear,Concert,75
1,Saturday,Rain,Festival,64
17,Sunday,Rain,Sports,92
21,Saturday,Clear,Concert,100
11,Sunday,Clear,Sports,76
2,Thursday,Rain,Sports,47
1,Wednesday,Cloudy,Festival,60
9,Friday,Rain,NoEvent,47
15,Tuesday,Clear,Festival,52
4,Tuesday,Cloudy,Concert,59
7,Sunday,Rain,NoEvent,79
21,Tuesday,Cloudy,NoEvent,74
7,Monday,Clear,Concert,69
21,Sunday,Cloudy,Concert,100
9,Monday,Cloudy,NoEvent,63
17,Saturday,Cloudy,Concert,90
13,Monday,Rain,NoEvent,52
10,Monday,Clear,Concert,56
4,Sunday,Cloudy,Sports,86
9,Wednesday,Rain,Sports,44
20,Tuesday,Cloudy,Sports,74
16,Monday,Rain,Festival,40
6,Monday,Cloudy,Sports,57
14,Thursday,Rain,Festival,59
1,Monday,Clear,Sports,63
9,Wednesday,Cloudy,Concert,64
0,Friday,Rain,Concert,45
9,Monday,Rain,Sports,52
3,Tuesday,Rain,Sports,48
1,Wednesday,Clear,Festival,50
8,Wednesday,Clear,NoEvent,62
1,Tuesday,Cloudy,Concert,56
15,Saturday,Rain,Sports,75
4,Thursday,Cloudy,Concert,58
19,Wednesday,Rain,Sports,72
9,Monday,Cloudy,NoEvent,70
21,Thursday,Cloudy,Concert,87
17,Monday,Rain,Sports,63
21,Monday,Cloudy,Concert,77
16,Sunday,Rain,Festival,72
16,Wednesday,Clear,Festival,51
18,Saturday,Rain,Concert,84
19,Saturday,Cloudy,Festival,100
18,Tuesday,Clear,Sports,82
10,Monday,Rain,NoEvent,57
19,Thursday,Cloudy,Sports,79
10,Sunday,Cloudy,NoEvent,84
6,Tuesday,Clear,Concert,60
6,Friday,Clear,NoEvent,67
21,Sunday,Rain,Sports,84
12,Tuesday,Clear,NoEvent,64
6,Saturday,Cloudy,Festival,87
3,Thursday,Cloudy,Concert,68
6,Sunday,Clear,Sports,86
21,Monday,Rain,NoEvent,61
9,Sunday,Rain,Festival,63
8,Sunday,Cloudy,Concert,81
16,Saturday,Rain,Concert,72
8,Monday,Clear,Concert,70
9,Monday,Rain,Concert,56
1,Sunday,Cloudy,Concert,85
10,Monday,Clear,Concert,53
4,Tuesday,Clear,Sports,62
4,Thursday,Cloudy,NoEvent,50
3,Sunday,Clear,Sports,72
6,Saturday,Rain,Festival,80
15,Friday,Cloudy,Sports,66
12,Tuesday,Rain,Sports,57
13,Wednesday,Rain,Sports,60
5,Wednesday,Clear,Sports,52
18,Saturday,Rain,Sports,88
18,Saturday,Clear,Concert,100
7,Saturday,Clear,NoEvent,84
12,Tuesday,Cloudy,Concert,51
11,Wednesday,Clear,Sports,60
15,Sunday,Clear,Sports,76
2,Saturday,Clear,Festival,87
13,Friday,Clear,Concert,60
17,Saturday,Cloudy,NoEvent,93
6,Thursday,Clear,Concert,53
12,Saturday,Cloudy,NoEvent,83
13,Wednesday,Rain,Concert,40
9,Monday,Clear,Sports,57
19,Monday,Rain,Sports,77
18,Saturday,Rain,Sports,87
2,Friday,Clear,Concert,55
17,Sunday,Clear,Sports,100
2,Friday,Rain,NoEvent,44
12,Friday,Clear,Festival,60
18,Monday,Rain,NoEvent,71
17,Monday,Clear,Sports,88
20,Sunday,Clear,Concert,100
12,Saturday,Cloudy,Sports,86
5,Tuesday,Cloudy,Sports,50
14,Monday,Cloudy,NoEvent,63
9,Tuesday,Rain,Festival,47
1,Saturday,Rain,Concert,60
20,Wednesday,Cloudy,NoEvent,70
7,Tuesday,Cloudy,NoEvent,50
14,Tuesday,Clear,Festival,57
0,Wednesday,Clear,Festival,61
20,Tuesday,Clear,NoEvent,70
14,Wednesday,Cloudy,Concert,57
10,Saturday,Rain,Concert,79
4,Tuesday,Clear,Concert,50
14,Saturday,Rain,Concert,67
14,Monday,Cloudy,Festival,53
6,Friday,Clear,NoEvent,62
15,Monday,Clear,NoEvent,59
6,Wednesday,Cloudy,Sports,63
16,Tuesday,Cloudy,Sports,68
22,Tuesday,Rain,Concert,59
17,Tuesday,Rain,Sports,79
12,Tuesday,Clear,Sports,52
6,Monday,Cloudy,Festival,62
16,Monday,Cloudy,NoEvent,63
13,Friday,Rain,Festival,50
21,Sunday,Clear,Concert,92
18,Wednesday,Rain,Sports,63
16,Friday,Clear,Sports,55
20,Wednesday,Clear,Festival,83
4,Saturday,Rain,Concert,68
15,Wednesday,Cloudy,Concert,55
13,Tuesday,Cloudy,Festival,70
10,Tuesday,Clear,Concert,66
20,Thursday,Cloudy,Concert,70
15,Sunday,Cloudy,Festival,75
20,Friday,Rain,Sports,73
13,Friday,Rain,NoEvent,49
0,Monday,Cloudy,Festival,64
23,Wednesday,Cloudy,NoEvent,63
19,Sunday,Rain,NoEvent,97
4,Thursday,Cloudy,Sports,54
16,Friday,Cloudy,NoEvent,51
15,Tuesday,Cloudy,Concert,60
22,Friday,Rain,Sports,60
3,Saturday,Clear,NoEvent,79
15,Wednesday,Clear,Sports,66
21,Wednesday,Cloudy,Festival,86
9,Wednesday,Cloudy,Concert,52
8,Monday,Rain,Concert,50
12,Monday,Cloudy,NoEvent,57
2,Monday,Cloudy,Festival,62
22,Sunday,Rain,Sports,70
15,Saturday,Rain,NoEvent,66
5,Friday,Rain,NoEvent,55
10,Tuesday,Cloudy,Concert,56
22,Wednesday,Cloudy,Sports,66
19,Saturday,Cloudy,NoEvent,92
17,Sunday,Cloudy,Concert,100
5,Wednesday,Rain,NoEvent,60
15,Tuesday,Cloudy,Sports,52
1,Monday,Rain,Festival,59
5,Tuesday,Clear,Sports,62
10,Friday,Clear,Festival,55
21,Wednesday,Rain,Concert,77
2,Friday,Clear,Concert,66
14,Tuesday,Rain,NoEvent,45
3,Friday,Cloudy,Festival,52
9,Saturday,Rain,Sports,67
9,Monday,Cloudy,NoEvent,67
18,Thursday,Clear,Concert,79
16,Sunday,Clear,Festival,71
17,Tuesday,Cloudy,Sports,74
10,Tuesday,Clear,NoEvent,59
0,Friday,Clear,Festival,58
13,Tuesday,Rain,Sports,44
2,Tuesday,Cloudy,Concert,60
13,Wednesday,Clear,Concert,68
4,Monday,Cloudy,Festival,66
17,Friday,Rain,Concert,74
0,Monday,Rain,Concert,40
21,Wednesday,Cloudy,Festival,78
17,Friday,Clear,Concert,73
10,Friday,Rain,Sports,54
20,Saturday,Clear,Festival,100
17,Friday,Cloudy,Festival,77
21,Tuesday,Cloudy,NoEvent,82
0,Friday,Clear,Festival,68
9,Monday,Clear,NoEvent,70
19,Thursday,Clear,NoEvent,82
7,Wednesday,Rain,Concert,53
3,Sunday,Cloudy,Concert,84
11,Tuesday,Clear,Sports,66
7,Friday,Clear,Sports,70
15,Thursday,Clear,Sports,58
13,Tuesday,Clear,Festival,51
20,Monday,Rain,Sports,70
1,Thursday,Clear,Sports,52
21,Thursday,Rain,Concert,76
5,Tuesday,Clear,Concert,65
6,Saturday,Clear,NoEvent,78
0,Thursday,Clear,Concert,66
13,Monday,Clear,Sports,63
1,Wednesday,Clear,NoEvent,58
13,Wednesday,Cloudy,Concert,60
23,Monday,Cloudy,Concert,60
2,Sunday,Cloudy,Festival,72
12,Thursday,Cloudy,Sports,54
7,Monday,Cloudy,NoEvent,69
4,Saturday,Cloudy,NoEvent,73
4,Sunday,Rain,NoEvent,80
20,Sunday,Rain,NoEvent,89
17,Tuesday,Cloudy,NoEvent,76
3,Wednesday,Rain,NoEvent,40
12,Saturday,Rain,Festival,80
16,Wednesday,Rain,Festival,56
10,Monday,Clear,NoEvent,53
10,Saturday,Rain,Concert,65
6,Thursday,Rain,Sports,41
18,Sunday,Rain,NoEvent,96
1,Thursday,Cloudy,NoEvent,65
6,Sunday,Clear,Festival,73
8,Wednesday,Clear,Sports,58
2,Wednesday,Rain,Festival,42
8,Thursday,Clear,Sports,63
5,Monday,Clear,Concert,50
7,Friday,Clear,Concert,60
7,Friday,Rain,NoEvent,54
17,Sunday,Cloudy,Festival,100
6,Friday,Clear,NoEvent,69
0,Wednesday,Rain,Concert,58
22,Wednesday,Cloudy,Sports,59
17,Tuesday,Clear,Concert,72
0,Wednesday,Cloudy,NoEvent,64
20,Tuesday,Cloudy,Sports,73
22,Sunday,Clear,Concert,82
2,Monday,Rain,Sports,47
5,Saturday,Clear,Concert,86
18,Wednesday,Clear,Festival,71
2,Wednesday,Rain,Sports,42
4,Tuesday,Clear,Festival,55
14,Tuesday,Cloudy,Concert,64
11,Monday,Cloudy,Festival,66
8,Thursday,Cloudy,Concert,53
9,Friday,Clear,NoEvent,52
16,Wednesday,Rain,NoEvent,46
8,Thursday,Rain,Festival,53
15,Saturday,Cloudy,Festival,84
5,Monday,Rain,NoEvent,48
8,Saturday,Rain,Concert,69
7,Monday,Clear,Sports,55
16,Friday,Clear,Sports,69
5,Friday,Rain,Concert,49
13,Friday,Clear,Concert,56
11,Monday,Cloudy,NoEvent,67
15,Monday,Rain,Concert,59
21,Saturday,Rain,Concert,97
4,Wednesday,Cloudy,Sports,61
10,Thursday,Clear,Festival,66
21,Monday,Cloudy,NoEvent,79
3,Saturday,Clear,NoEvent,85
11,Wednesday,Rain,Concert,48
0,Friday,Rain,Festival,43
13,Wednesday,Clear,Concert,51
5,Thursday,Rain,Sports,56
7,Thursday,Rain,Sports,50
2,Monday,Rain,Sports,53
15,Sunday,Clear,NoEvent,76
19,Monday,Rain,Festival,70
19,Wednesday,Clear,Sports,74
14,Sunday,Rain,Festival,60
19,Tuesday,Clear,Concert,74
7,Wednesday,Rain,NoEvent,53
23,Thursday,Rain,NoEvent,52
13,Tuesday,Cloudy,Concert,62
10,Saturday,Rain,NoEvent,74
19,Wednesday,Clear,Concert,89
14,Tuesday,Clear,NoEvent,59
2,Thursday,Rain,Concert,53
4,Sunday,Cloudy,NoEvent,85
3,Sunday,Clear,Festival,82
11,Saturday,Cloudy,Sports,70
20,Thursday,Clear,Sports,85
11,Saturday,Rain,NoEvent,63
17,Thursday,Rain,Sports,76
5,Tuesday,Cloudy,Festival,63
5,Saturday,Rain,NoEvent,75
3,Tuesday,Rain,NoEvent,47
22,Wednesday,Clear,NoEvent,62
1,Saturday,Clear,Concert,78
6,Tuesday,Clear,Concert,67
6,Tuesday,Cloudy,Festival,68
2,Tuesday,Clear,Festival,57
21,Saturday,Clear,Sports,94
0,Wednesday,Cloudy,NoEvent,70
3,Sunday,Cloudy,Festival,85
18,Tuesday,Clear,NoEvent,90
14,Thursday,Rain,Concert,55
23,Wednesday,Cloudy,Festival,65
22,Thursday,Rain,Festival,51
11,Saturday,Rain,NoEvent,65
21,Monday,Rain,NoEvent,75
5,Tuesday,Cloudy,NoEvent,69
8,Sunday,Rain,Festival,66
0,Sunday,Rain,Sports,62
8,Tuesday,Rain,Concert,57
0,Thursday,Cloudy,Sports,63
2,Sunday,Cloudy,NoEvent,76
13,Monday,Rain,NoEvent,48
4,Wednesday,Cloudy,Sports,56
22,Saturday,Rain,Sports,69
20,Friday,Clear,Festival,75
3,Wednesday,Rain,Festival,48
9,Thursday,Cloudy,NoEvent,70
1,Thursday,Rain,NoEvent,40
17,Wednesday,Clear,Sports,84
14,Sunday,Cloudy,Festival,80
2,Tuesday,Clear,Concert,68
14,Sunday,Cloudy,Sports,76
11,Friday,Clear,NoEvent,53
23,Monday,Cloudy,NoEvent,55
22,Friday,Cloudy,Concert,67
2,Sunday,Clear,Sports,71
18,Tuesday,Clear,Concert,84
20,Saturday,Cloudy,NoEvent,100
12,Friday,Cloudy,NoEvent,67
10,Monday,Clear,Sports,51
2,Sunday,Cloudy,Sports,90
9,Monday,Clear,Sports,51
8,Monday,Rain,Concert,44
23,Sunday,Cloudy,Sports,76
18,Wednesday,Rain,Festival,61
10,Tuesday,Clear,Festival,69
8,Tuesday,Rain,Sports,45
5,Wednesday,Cloudy,Festival,65
17,Friday,Rain,Festival,76
8,Friday,Clear,Sports,53
16,Saturday,Clear,Sports,84
12,Saturday,Clear,Sports,85
5,Wednesday,Cloudy,Concert,65
6,Tuesday,Cloudy,NoEvent,62
2,Saturday,Cloudy,Festival,78
12,Wednesday,Rain,NoEvent,50
21,Friday,Clear,Concert,74
21,Friday,Cloudy,Festival,73
0,Friday,Clear,NoEvent,56
5,Tuesday,Clear,Sports,51
3,Sunday,Clear,Concert,80
23,Tuesday,Clear,Festival,51
2,Sunday,Rain,NoEvent,80
10,Saturday,Clear,Sports,89
22,Friday,Cloudy,Festival,64
17,Wednesday,Cloudy,Sports,84
23,Sunday,Cloudy,NoEvent,78
18,Thursday,Rain,Festival,65
18,Sunday,Rain,Festival,81
11,Tuesday,Clear,Concert,59
8,Tuesday,Cloudy,Festival,69
16,Wednesday,Cloudy,Concert,50
9,Tuesday,Clear,Concert,66
16,Sunday,Rain,Festival,77
6,Monday,Rain,Festival,52
9,Friday,Clear,Concert,56
13,Tuesday,Rain,Concert,45
21,Tuesday,Clear,Concert,86
23,Tuesday,Rain,Sports,58
19,Friday,Clear,NoEvent,80
18,Saturday,Rain,Concert,95
5,Friday,Clear,Festival,56
8,Saturday,Clear,Concert,87
6,Monday,Rain,NoEvent,50
23,Tuesday,Rain,Sports,56
4,Thursday,Rain,Festival,59
14,Monday,Cloudy,Concert,68
9,Friday,Cloudy,Concert,68
2,Thursday,Cloudy,Sports,60
6,Sunday,Rain,NoEvent,71
9,Friday,Cloudy,Sports,55
6,Wednesday,Cloudy,Festival,68
15,Thursday,Clear,Sports,53
23,Sunday,Rain,NoEvent,79
16,Monday,Cloudy,Sports,65
1,Friday,Cloudy,NoEvent,65
8,Friday,Rain,Concert,52
15,Sunday,Cloudy,NoEvent,82
13,Wednesday,Clear,Concert,61
22,Thursday,Rain,Sports,57
17,Saturday,Clear,Concert,100
12,Tuesday,Rain,Sports,47
23,Wednesday,Cloudy,Festival,64
10,Friday,Clear,Concert,69
5,Thursday,Cloudy,Concert,58
19,Saturday,Cloudy,Sports,100
22,Wednesday,Rain,NoEvent,53
4,Sunday,Cloudy,Festival,78
6,Thursday,Rain,NoEvent,52
4,Wednesday,Clear,Sports,61
19,Thursday,Cloudy,Sports,87
18,Friday,Cloudy,NoEvent,80
7,Monday,Rain,NoEvent,56
9,Saturday,Clear,Concert,70
5,Wednesday,Clear,Sports,51
5,Wednesday,Clear,NoEvent,61
7,Saturday,Clear,Festival,73
9,Wednesday,Clear,Sports,66
4,Sunday,Cloudy,Concert,83
19,Monday,Rain,NoEvent,70
0,Monday,Clear,Sports,64
2,Friday,Clear,Festival,64
3,Tuesday,Cloudy,Concert,51
11,Friday,Clear,Festival,60
6,Monday,Rain,Festival,56
1,Friday,Clear,Sports,57
8,Tuesday,Cloudy,Sports,57
11,Friday,Cloudy,Concert,52
5,Thursday,Clear,NoEvent,54
7,Thursday,Clear,Sports,69
6,Wednesday,Clear,Concert,69
18,Tuesday,Rain,Festival,70
6,Tuesday,Rain,Festival,53
6,Thursday,Cloudy,Sports,58
11,Tuesday,Rain,Festival,45
4,Wednesday,Rain,Sports,58
2,Tuesday,Rain,Sports,56
11,Friday,Clear,Sports,54
8,Wednesday,Clear,NoEvent,62
16,Saturday,Clear,Concert,71
3,Sunday,Cloudy,NoEvent,74
1,Thursday,Clear,NoEvent,69
22,Wednesday,Clear,Festival,50
19,Saturday,Cloudy,Concert,97
19,Sunday,Cloudy,Sports,100
4,Saturday,Clear,Concert,88
0,Thursday,Rain,Concert,57
23,Saturday,Cloudy,Sports,90
3,Sunday,Clear,NoEvent,88
8,Friday,Cloudy,NoEvent,54
5,Monday,Clear,NoEvent,65
3,Monday,Rain,Festival,46
17,Wednesday,Clear,Festival,80
23,Tuesday,Cloudy,Concert,54
8,Tuesday,Clear,NoEvent,64
22,Sunday,Rain,Sports,80
9,Monday,Clear,NoEvent,62
10,Monday,Cloudy,NoEvent,70
9,Monday,Rain,Sports,52
22,Saturday,Cloudy,NoEvent,72
17,Tuesday,Cloudy,Sports,86
11,Friday,Rain,Sports,43
2,Monday,Rain,NoEvent,41
20,Monday,Rain,Concert,69
7,Thursday,Rain,Concert,51
7,Saturday,Clear,NoEvent,76
16,Sunday,Clear,Concert,90
6,Friday,Clear,Concert,51
9,Saturday,Rain,NoEvent,74
21,Thursday,Clear,NoEvent,77
14,Sunday,Rain,Concert,64
5,Sunday,Clear,Sports,82
15,Monday,Clear,Sports,52
6,Thursday,Rain,NoEvent,44
1,Friday,Clear,Festival,50
21,Friday,Cloudy,Festival,87
13,Friday,Rain,NoEvent,51
21,Wednesday,Cloudy,Concert,88
12,Monday,Cloudy,NoEvent,69
22,Wednesday,Rain,Sports,41
1,Wednesday,Cloudy,Sports,54
14,Sunday,Cloudy,Concert,74
1,Wednesday,Clear,Festival,54
1,Wednesday,Cloudy,Festival,61
20,Sunday,Rain,Concert,80
18,Sunday,Clear,NoEvent,96
23,Wednesday,Clear,Concert,62
14,Tuesday,Cloudy,Sports,62
9,Saturday,Clear,Concert,72
16,Tuesday,Cloudy,Sports,52
9,Thursday,Clear,Concert,69
4,Friday,Cloudy,Concert,50
17,Wednesday,Cloudy,Concert,88
10,Friday,Cloudy,Festival,59
16,Thursday,Rain,Festival,59
10,Tuesday,Cloudy,Sports,66
15,Friday,Cloudy,Sports,52
10,Friday,Cloudy,NoEvent,58
4,Sunday,Clear,Concert,75
4,Sunday,Clear,NoEvent,70
7,Sunday,Cloudy,Concert,83
0,Tuesday,Clear,Concert,68
10,Saturday,Cloudy,Festival,84
22,Sunday,Rain,Concert,66
14,Tuesday,Clear,Festival,59
22,Saturday,Rain,Concert,61
4,Saturday,Clear,NoEvent,75
8,Sunday,Cloudy,NoEvent,87
3,Friday,Clear,Festival,63
10,Friday,Clear,Concert,70
0,Thursday,Clear,Sports,51
6,Wednesday,Rain,Concert,60
8,Sunday,Clear,NoEvent,83
2,Friday,Rain,Festival,59
8,Friday,Cloudy,NoEvent,67
0,Wednesday,Rain,NoEvent,58
20,Monday,Rain,Festival,67
15,Monday,Clear,Sports,62
11,Tuesday,Clear,NoEvent,68
4,Monday,Rain,Festival,41
19,Friday,Rain,Concert,71
23,Tuesday,Cloudy,Festival,62
8,Saturday,Rain,Concert,78
13,Thursday,Cloudy,NoEvent,65
0,Monday,Rain,Concert,52
9,Wednesday,Rain,Concert,57
4,Thursday,Cloudy,Sports,70
3,Sunday,Clear,NoEvent,75
20,Monday,Rain,NoEvent,65
10,Saturday,Cloudy,NoEvent,75
2,Friday,Rain,Festival,45
0,Wednesday,Rain,NoEvent,45
1,Friday,Cloudy,Festival,57
14,Tuesday,Cloudy,Sports,66
1,Wednesday,Cloudy,Festival,66
9,Thursday,Rain,Sports,58
10,Friday,Rain,Concert,52
0,Sunday,Cloudy,NoEvent,79
17,Wednesday,Clear,Festival,85
18,Sunday,Rain,Sports,83
8,Wednesday,Cloudy,Concert,55
12,Tuesday,Rain,Festival,47
17,Friday,Rain,Sports,73
9,Monday,Rain,Concert,48
11,Tuesday,Rain,NoEvent,47
23,Saturday,Clear,NoEvent,83
21,Monday,Cloudy,NoEvent,83
17,Monday,Clear,Sports,73
13,Friday,Cloudy,Sports,69
15,Sunday,Clear,Festival,80
11,Friday,Cloudy,NoEvent,59
22,Tuesday,Cloudy,Festival,53
14,Sunday,Rain,Festival,76
17,Friday,Rain,Festival,60
3,Sunday,Clear,Sports,75
14,Friday,Cloudy,Sports,59
23,Monday,Clear,Concert,50
21,Tuesday,Rain,NoEvent,75
16,Sunday,Cloudy,Concert,77
22,Friday,Clear,Sports,56
5,Friday,Clear,Concert,58
6,Saturday,Cloudy,Festival,71
20,Tuesday,Rain,Sports,78
23,Sunday,Cloudy,Festival,84
17,Thursday,Rain,Sports,64
8,Sunday,Cloudy,Concert,90
23,Thursday,Cloudy,Concert,53
3,Friday,Rain,Festival,50
0,Thursday,Rain,Sports,45
5,Saturday,Rain,Festival,61
20,Monday,Rain,Concert,61
13,Thursday,Clear,Festival,62
7,Thursday,Cloudy,Concert,51
20,Friday,Cloudy,Sports,88
11,Saturday,Cloudy,Sports,83
6,Tuesday,Cloudy,Festival,59
6,Tuesday,Rain,Festival,43
20,Wednesday,Clear,Sports,89
9,Friday,Clear,Festival,57
3,Saturday,Cloudy,NoEvent,72
22,Sunday,Cloudy,Festival,86
6,Thursday,Rain,Festival,42
21,Friday,Rain,Sports,72
1,Saturday,Clear,Concert,75
3,Thursday,Rain,Sports,41
11,Saturday,Cloudy,NoEvent,71
11,Wednesday,Rain,Concert,43
11,Sunday,Rain,NoEvent,68
